country,postal_code,municipality,population,year
swe,0114,Upplands Väsb,46786,2019
swe,0115,Vallentun,34090,2019
swe,0117,Österåke,45574,2019
swe,0120,Värmd,45000,2019
swe,0123,Järfäll,79990,2019
swe,0125,Eker,28690,2019
swe,0126,Hudding,112848,2019
swe,0127,Botkyrk,94606,2019
swe,0128,Sale,16750,2019
swe,0136,Haning,92095,2019
swe,0138,Tyres,48333,2019
swe,0139,Upplands-Br,29346,2019
swe,0140,Nykvar,11014,2019
swe,0160,Täb,71874,2019
swe,0162,Dandery,32857,2019
swe,0163,Sollentun,73857,2019
swe,0180,Stockhol,974073,2019
swe,0181,Södertälj,98979,2019
swe,0182,Nack,105189,2019
swe,0183,Sundbyber,52414,2019
swe,0184,Soln,82429,2019
swe,0186,Liding,48123,2019
swe,0187,Vaxhol,12003,2019
swe,0188,Norrtälj,62622,2019
swe,0191,Sigtun,48964,2019
swe,0192,Nynäsham,28575,2019
swe,0305,Håb,21934,2019
swe,0319,Älvkarleb,9457,2019
swe,0330,Knivst,18835,2019
swe,0331,Heb,14047,2019
swe,0360,Tier,21136,2019
swe,0380,Uppsal,230767,2019
swe,0381,Enköpin,45287,2019
swe,0382,Östhamma,22250,2019
swe,0428,Vingåke,9111,2019
swe,0461,Gnest,11365,2019
swe,0480,Nyköpin,56591,2019
swe,0481,Oxelösun,11983,2019
swe,0482,Fle,16585,2019
swe,0483,Katrinehol,34755,2019
swe,0484,Eskilstun,106859,2019
swe,0486,Strängnä,36544,2019
swe,0488,Tros,13747,2019
swe,0509,Ödeshö,5337,2019
swe,0512,Ydr,3747,2019
swe,0513,Kind,9940,2019
swe,0560,Boxhol,5476,2019
swe,0561,Åtvidaber,11503,2019
swe,0562,Finspån,21912,2019
swe,0563,Valdemarsvi,7873,2019
swe,0580,Linköpin,163051,2019
swe,0581,Norrköpin,143171,2019
swe,0582,Söderköpin,14626,2019
swe,0583,Motal,43673,2019
swe,0584,Vadsten,7428,2019
swe,0586,Mjölb,27758,2019
swe,0604,Aneb,6848,2019
swe,0617,Gnosj,9712,2019
swe,0642,Mullsj,7290,2019
swe,0643,Hab,12433,2019
swe,0662,Gislave,29963,2019
swe,0665,Vaggery,14275,2019
swe,0680,Jönköpin,141081,2019
swe,0682,Nässj,31538,2019
swe,0683,Värnam,34560,2019
swe,0684,Sävsj,11677,2019
swe,0685,Vetland,27466,2019
swe,0686,Eksj,17753,2019
swe,0687,Tranå,19003,2019
swe,0760,Uppviding,9588,2019
swe,0761,Lesseb,8733,2019
swe,0763,Tingsry,12393,2019
swe,0764,Alvest,20134,2019
swe,0765,Älmhul,17651,2019
swe,0767,Markary,10320,2019
swe,0780,Växj,94129,2019
swe,0781,Ljungb,28521,2019
swe,0821,Högsb,5921,2019
swe,0834,Torså,7125,2019
swe,0840,Mörbylång,15249,2019
swe,0860,Hultsfre,14224,2019
swe,0861,Mönsterå,13430,2019
swe,0862,Emmabod,9445,2019
swe,0880,Kalma,69467,2019
swe,0881,Nybr,20318,2019
swe,0882,Oskarsham,27102,2019
swe,0883,Västervi,36679,2019
swe,0884,Vimmerb,15647,2019
swe,0885,Borghol,10839,2019
swe,0980,Gotlan,59686,2019
swe,1060,Olofströ,13426,2019
swe,1080,Karlskron,66622,2019
swe,1081,Ronneb,29633,2019
swe,1082,Karlsham,32473,2019
swe,1083,Sölvesbor,17452,2019
swe,1214,Svalö,14268,2019
swe,1230,Staffanstor,25396,2019
swe,1231,Burlö,19112,2019
swe,1233,Velling,36628,2019
swe,1256,Östra Göing,15007,2019
swe,1257,Örkelljung,10280,2019
swe,1260,Bju,15715,2019
swe,1261,Kävling,31705,2019
swe,1262,Lomm,24834,2019
swe,1263,Svedal,22229,2019
swe,1264,Skuru,15889,2019
swe,1265,Sjöb,19226,2019
swe,1266,Hörb,15631,2019
swe,1267,Höö,16713,2019
swe,1270,Tomelill,13617,2019
swe,1272,Bromöll,12870,2019
swe,1273,Osb,13208,2019
swe,1275,Perstor,7492,2019
swe,1276,Klippa,17756,2019
swe,1277,Åstor,15940,2019
swe,1278,Båsta,15128,2019
swe,1280,Malm,344166,2019
swe,1281,Lun,124935,2019
swe,1282,Landskron,46090,2019
swe,1283,Helsingbor,147734,2019
swe,1284,Höganä,26942,2019
swe,1285,Eslö,33793,2019
swe,1286,Ysta,30541,2019
swe,1287,Trellebor,45440,2019
swe,1290,Kristiansta,85747,2019
swe,1291,Simrisham,19174,2019
swe,1292,Ängelhol,42476,2019
swe,1293,Hässlehol,52145,2019
swe,1315,Hylt,10815,2019
swe,1380,Halmsta,102767,2019
swe,1381,Lahol,25903,2019
swe,1382,Falkenber,45367,2019
swe,1383,Varber,64601,2019
swe,1384,Kungsback,84395,2019
swe,1401,Härryd,37977,2019
swe,1402,Partill,39289,2019
swe,1407,Öcker,12916,2019
swe,1415,Stenungsun,26777,2019
swe,1419,Tjör,16016,2019
swe,1421,Orus,15218,2019
swe,1427,Sotenä,9061,2019
swe,1430,Munkeda,10513,2019
swe,1435,Tanu,12841,2019
swe,1438,Dals-E,4813,2019
swe,1439,Färgeland,6637,2019
swe,1440,Al,31402,2019
swe,1441,Leru,42568,2019
swe,1442,Vårgård,11810,2019
swe,1443,Bollebyg,9495,2019
swe,1444,Grästor,5693,2019
swe,1445,Essung,5654,2019
swe,1446,Karlsbor,6940,2019
swe,1447,Gullspån,5280,2019
swe,1452,Tranem,11936,2019
swe,1460,Bengtsfor,9750,2019
swe,1461,Melleru,9310,2019
swe,1462,Lilla Ede,14109,2019
swe,1463,Mar,34754,2019
swe,1465,Svenljung,10780,2019
swe,1466,Herrljung,9464,2019
swe,1470,Var,16024,2019
swe,1471,Göten,13207,2019
swe,1472,Tibr,11240,2019
swe,1473,Törebod,9293,2019
swe,1480,Götebor,579281,2019
swe,1481,Mölnda,69364,2019
swe,1482,Kungäl,46336,2019
swe,1484,Lyseki,14555,2019
swe,1485,Uddevall,56703,2019
swe,1486,Strömsta,13218,2019
swe,1487,Vänersbor,39591,2019
swe,1488,Trollhätta,59058,2019
swe,1489,Alingså,41420,2019
swe,1490,Borå,113179,2019
swe,1491,Ulriceham,24668,2019
swe,1492,Åmå,12610,2019
swe,1493,Mariesta,24537,2019
swe,1494,Lidköpin,40089,2019
swe,1495,Skar,18837,2019
swe,1496,Skövd,56366,2019
swe,1497,Hj,9210,2019
swe,1498,Tidahol,12846,2019
swe,1499,Falköpin,33246,2019
swe,1715,Ki,12087,2019
swe,1730,Ed,8564,2019
swe,1737,Torsb,11616,2019
swe,1760,Storfor,4014,2019
swe,1761,Hammar,16568,2019
swe,1762,Munkfor,3740,2019
swe,1763,Forshag,11499,2019
swe,1764,Grum,9047,2019
swe,1765,Årjän,10070,2019
swe,1766,Sunn,13306,2019
swe,1780,Karlsta,93898,2019
swe,1781,Kristineham,24255,2019
swe,1782,Filipsta,10644,2019
swe,1783,Hagfor,11606,2019
swe,1784,Arvik,26045,2019
swe,1785,Säffl,15455,2019
swe,1814,Lekeber,8234,2019
swe,1860,Lax,5683,2019
swe,1861,Hallsber,15932,2019
swe,1862,Degerfor,9666,2019
swe,1863,Hällefor,7013,2019
swe,1864,Ljusnarsber,4771,2019
swe,1880,Örebr,155696,2019
swe,1881,Kuml,21738,2019
swe,1882,Askersun,11377,2019
swe,1883,Karlskog,30381,2019
swe,1884,Nor,10726,2019
swe,1885,Lindesber,23588,2019
swe,1904,Skinnskatteber,4393,2019
swe,1907,Surahamma,10106,2019
swe,1960,Kungsö,8675,2019
swe,1961,Hallstahamma,16346,2019
swe,1962,Norber,5690,2019
swe,1980,Västerå,154049,2019
swe,1981,Sal,22894,2019
swe,1982,Fagerst,13391,2019
swe,1983,Köpin,26214,2019
swe,1984,Arbog,14087,2019
swe,2021,Vansbr,6805,2019
swe,2023,Malung-Säle,10138,2019
swe,2026,Gagne,10304,2019
swe,2029,Leksan,15807,2019
swe,2031,Rättvi,10950,2019
swe,2034,Ors,6911,2019
swe,2039,Älvdale,7031,2019
swe,2061,Smedjebacke,10894,2019
swe,2062,Mor,20470,2019
swe,2080,Falu,59406,2019
swe,2081,Borläng,52590,2019
swe,2082,Säte,11093,2019
swe,2083,Hedemor,15491,2019
swe,2084,Avest,23178,2019
swe,2085,Ludvik,26898,2019
swe,2101,Ockelb,5908,2019
swe,2104,Hofor,9588,2019
swe,2121,Ovanåke,11670,2019
swe,2132,Nordansti,9477,2019
swe,2161,Ljusda,18949,2019
swe,2180,Gävl,102418,2019
swe,2181,Sandvike,39234,2019
swe,2182,Söderham,25643,2019
swe,2183,Bollnä,26888,2019
swe,2184,Hudiksval,37607,2019
swe,2260,Ång,9316,2019
swe,2262,Timr,17979,2019
swe,2280,Härnösan,25183,2019
swe,2281,Sundsval,99449,2019
swe,2282,Kramfor,18282,2019
swe,2283,Sollefte,19140,2019
swe,2284,Örnsköldsvi,55998,2019
swe,2303,Ragund,5284,2019
swe,2305,Bräck,6298,2019
swe,2309,Kroko,14966,2019
swe,2313,Strömsun,11605,2019
swe,2321,År,11727,2019
swe,2326,Ber,7061,2019
swe,2361,Härjedale,10090,2019
swe,2380,Östersun,63779,2019
swe,2401,Nordmalin,7143,2019
swe,2403,Bjurhol,2408,2019
swe,2404,Vindel,5423,2019
swe,2409,Robertsfor,6747,2019
swe,2417,Norsj,3986,2019
swe,2418,Mal,3068,2019
swe,2421,Storuma,5852,2019
swe,2422,Sorsel,2489,2019
swe,2425,Dorote,2551,2019
swe,2460,Vännä,8872,2019
swe,2462,Vilhelmin,6668,2019
swe,2463,Åsel,2794,2019
swe,2480,Ume,128901,2019
swe,2481,Lycksel,12245,2019
swe,2482,Skellefte,72589,2019
swe,2505,Arvidsjau,6220,2019
swe,2506,Arjeplo,2785,2019
swe,2510,Jokkmok,4923,2019
swe,2513,Överkali,3315,2019
swe,2514,Kali,15886,2019
swe,2518,Övertorne,4299,2019
swe,2521,Pajal,6052,2019
swe,2523,Gällivar,17529,2019
swe,2560,Älvsby,8066,2019
swe,2580,Lule,78105,2019
swe,2581,Pite,42281,2019
swe,2582,Bode,28080,2019
swe,2583,Haparand,9685,2019
swe,2584,Kirun,22867,2019
